Date,GBP= (BID)
,Close
30/10/2020,1.2941
29/10/2020,1.2926
28/10/2020,1.2981
27/10/2020,1.3043
26/10/2020,1.3023
23/10/2020,1.304
22/10/2020,1.3081
21/10/2020,1.3144
20/10/2020,1.2944
19/10/2020,1.2947
16/10/2020,1.2913
15/10/2020,1.2914
14/10/2020,1.3011
13/10/2020,1.2934
12/10/2020,1.3064
09/10/2020,1.3046
08/10/2020,1.2933
07/10/2020,1.2918
06/10/2020,1.2877
05/10/2020,1.2977
02/10/2020,1.2931
01/10/2020,1.2889
30/9/2020,1.2916
29/9/2020,1.2861
28/9/2020,1.2827
25/9/2020,1.2745
24/9/2020,1.2749
23/9/2020,1.2722
22/9/2020,1.2731
21/9/2020,1.2814
18/9/2020,1.2915
17/9/2020,1.2972
16/9/2020,1.2965
15/9/2020,1.2886
14/9/2020,1.2844
11/9/2020,1.2793
10/9/2020,1.2803
09/9/2020,1.3
08/9/2020,1.2987
07/9/2020,1.3166
04/9/2020,1.3282
03/9/2020,1.328
02/9/2020,1.3352
01/9/2020,1.3381
31/8/2020,1.3369
28/8/2020,1.3349
27/8/2020,1.3198
26/8/2020,1.3208
25/8/2020,1.315
24/8/2020,1.3063
21/8/2020,1.3087
20/8/2020,1.3212
19/8/2020,1.3098
18/8/2020,1.3235
17/8/2020,1.3102
14/8/2020,1.3084
13/8/2020,1.3063
12/8/2020,1.3032
11/8/2020,1.3048
10/8/2020,1.307
07/8/2020,1.3051
06/8/2020,1.3146
05/8/2020,1.3112
04/8/2020,1.306
03/8/2020,1.3072
31/7/2020,1.3088
30/7/2020,1.3093
29/7/2020,1.2995
28/7/2020,1.293
27/7/2020,1.2881
24/7/2020,1.2789
23/7/2020,1.2739
22/7/2020,1.2732
21/7/2020,1.2728
20/7/2020,1.266
17/7/2020,1.2565
16/7/2020,1.2549
15/7/2020,1.258
14/7/2020,1.2548
13/7/2020,1.2552
10/7/2020,1.262
09/7/2020,1.2604
08/7/2020,1.2609
07/7/2020,1.254
06/7/2020,1.2491
03/7/2020,1.2483
02/7/2020,1.2466
01/7/2020,1.247
30/6/2020,1.2399
29/6/2020,1.2296
26/6/2020,1.2333
25/6/2020,1.2414
24/6/2020,1.2418
23/6/2020,1.2518
22/6/2020,1.2461
19/6/2020,1.2356
18/6/2020,1.2424
17/6/2020,1.2554
16/6/2020,1.2574
15/6/2020,1.2602
12/6/2020,1.254
11/6/2020,1.26
10/6/2020,1.2745
09/6/2020,1.2729
08/6/2020,1.2722
05/6/2020,1.2663
04/6/2020,1.2594
03/6/2020,1.2572
02/6/2020,1.2549
01/6/2020,1.2492
29/5/2020,1.2344
28/5/2020,1.2316
27/5/2020,1.225
26/5/2020,1.2331
25/5/2020,1.2182
22/5/2020,1.2164
21/5/2020,1.2222
20/5/2020,1.2239
19/5/2020,1.2251
18/5/2020,1.2189
15/5/2020,1.2104
14/5/2020,1.2226
13/5/2020,1.2229
12/5/2020,1.2259
11/5/2020,1.2335
08/5/2020,1.2407
07/5/2020,1.2361
06/5/2020,1.2341
05/5/2020,1.2434
04/5/2020,1.2442
01/5/2020,1.2502
30/4/2020,1.2592
29/4/2020,1.2464
28/4/2020,1.2421
27/4/2020,1.2428
24/4/2020,1.2367
23/4/2020,1.2342
22/4/2020,1.2332
21/4/2020,1.2293
20/4/2020,1.2435
17/4/2020,1.2499
16/4/2020,1.2455
15/4/2020,1.2514
14/4/2020,1.2623
13/4/2020,1.2507
10/4/2020,1.2452
09/4/2020,1.2455
08/4/2020,1.2385
07/4/2020,1.2337
06/4/2020,1.2229
03/4/2020,1.226
02/4/2020,1.2392
01/4/2020,1.2376
31/3/2020,1.2418
30/3/2020,1.2416
27/3/2020,1.2456
26/3/2020,1.2201
25/3/2020,1.1885
24/3/2020,1.1757
23/3/2020,1.1548
20/3/2020,1.1641
19/3/2020,1.1485
18/3/2020,1.1613
17/3/2020,1.205
16/3/2020,1.2266
13/3/2020,1.2276
12/3/2020,1.2571
11/3/2020,1.282
10/3/2020,1.2906
09/3/2020,1.3131
06/3/2020,1.3047
05/3/2020,1.2954
04/3/2020,1.287
03/3/2020,1.281
02/3/2020,1.275
28/2/2020,1.282
27/2/2020,1.2884
26/2/2020,1.2903
25/2/2020,1.3004
24/2/2020,1.2927
21/2/2020,1.2969
20/2/2020,1.2879
19/2/2020,1.2919
18/2/2020,1.2998
17/2/2020,1.3006
14/2/2020,1.3046
13/2/2020,1.3045
12/2/2020,1.296
11/2/2020,1.2951
10/2/2020,1.2913
07/2/2020,1.2891
06/2/2020,1.2928
05/2/2020,1.3
04/2/2020,1.3029
03/2/2020,1.2993
31/1/2020,1.3199
30/1/2020,1.3094
29/1/2020,1.302
28/1/2020,1.3027
27/1/2020,1.3053
24/1/2020,1.3076
23/1/2020,1.3121
22/1/2020,1.314
21/1/2020,1.3047
20/1/2020,1.3009
17/1/2020,1.3008
16/1/2020,1.3076
15/1/2020,1.3036
14/1/2020,1.3017
13/1/2020,1.2988
10/1/2020,1.3059
09/1/2020,1.3065
08/1/2020,1.3097
07/1/2020,1.3123
06/1/2020,1.3167
