Date,GBP= (BID)
,Close
07/11/2011,1.6068
31/10/2011,1.6029
24/10/2011,1.612
17/10/2011,1.5951
10/10/2011,1.5818
03/10/2011,1.5558
26/9/2011,1.5582
19/9/2011,1.5466
12/9/2011,1.5786
05/9/2011,1.588
29/8/2011,1.6216
22/8/2011,1.637
15/8/2011,1.646
08/8/2011,1.6276
01/8/2011,1.639
25/7/2011,1.6418
18/7/2011,1.6301
11/7/2011,1.6134
04/7/2011,1.6057
27/6/2011,1.6074
20/6/2011,1.5958
13/6/2011,1.6194
06/6/2011,1.6233
30/5/2011,1.6427
23/5/2011,1.6506
16/5/2011,1.6227
09/5/2011,1.6196
02/5/2011,1.6368
25/4/2011,1.6701
18/4/2011,1.6508
11/4/2011,1.632
04/4/2011,1.6382
28/3/2011,1.6111
21/3/2011,1.6036
14/3/2011,1.6235
07/3/2011,1.6079
28/2/2011,1.6273
21/2/2011,1.6116
14/2/2011,1.6242
07/2/2011,1.6004
31/1/2011,1.6099
24/1/2011,1.586
17/1/2011,1.6001
10/1/2011,1.586
03/1/2011,1.5556
27/12/2010,1.5599
20/12/2010,1.5441
13/12/2010,1.5534
06/12/2010,1.5816
29/11/2010,1.5777
22/11/2010,1.5591
15/11/2010,1.5984
08/11/2010,1.6133
01/11/2010,1.6177
25/10/2010,1.6038
18/10/2010,1.5683
11/10/2010,1.599
04/10/2010,1.5963
27/9/2010,1.5815
20/9/2010,1.5819
13/9/2010,1.5626
06/9/2010,1.5348
30/8/2010,1.5445
23/8/2010,1.552
16/8/2010,1.5531
09/8/2010,1.5596
02/8/2010,1.5945
26/7/2010,1.5682
19/7/2010,1.5434
12/7/2010,1.5288
05/7/2010,1.5062
28/6/2010,1.5199
21/6/2010,1.5063
14/6/2010,1.4826
07/6/2010,1.4542
31/5/2010,1.446
24/5/2010,1.4463
17/5/2010,1.4466
10/5/2010,1.4537
03/5/2010,1.48
26/4/2010,1.5268
19/4/2010,1.5377
12/4/2010,1.5358
05/4/2010,1.5373
29/3/2010,1.5208
22/3/2010,1.49
15/3/2010,1.501
08/3/2010,1.5183
01/3/2010,1.5134
22/2/2010,1.5247
15/2/2010,1.5472
08/2/2010,1.5688
01/2/2010,1.5633
25/1/2010,1.6002
18/1/2010,1.6107
11/1/2010,1.6262
04/1/2010,1.6027
28/12/2009,1.6168
21/12/2009,1.5962
14/12/2009,1.6141
07/12/2009,1.6249
30/11/2009,1.6448
23/11/2009,1.6465
16/11/2009,1.6508
09/11/2009,1.6689
02/11/2009,1.6618
26/10/2009,1.6446
19/10/2009,1.6305
12/10/2009,1.6354
05/10/2009,1.5834
28/9/2009,1.5938
21/9/2009,1.5952
14/9/2009,1.627
07/9/2009,1.6661
31/8/2009,1.6391
24/8/2009,1.6267
17/8/2009,1.6505
10/8/2009,1.6538
03/8/2009,1.668
27/7/2009,1.6718
20/7/2009,1.6428
13/7/2009,1.6328
06/7/2009,1.6198
29/6/2009,1.6337
22/6/2009,1.652
15/6/2009,1.6504
08/6/2009,1.6442
01/6/2009,1.5977
25/5/2009,1.6182
18/5/2009,1.5933
11/5/2009,1.5161
04/5/2009,1.5244
27/4/2009,1.4917
20/4/2009,1.4675
13/4/2009,1.4793
06/4/2009,1.467
30/3/2009,1.483
23/3/2009,1.4323
16/3/2009,1.4466
09/3/2009,1.4003
02/3/2009,1.4077
23/2/2009,1.4309
16/2/2009,1.4438
09/2/2009,1.4385
02/2/2009,1.4801
26/1/2009,1.4503
19/1/2009,1.3811
12/1/2009,1.4743
05/1/2009,1.5169
29/12/2008,1.4523
22/12/2008,1.4646
15/12/2008,1.4925
08/12/2008,1.4956
01/12/2008,1.4762
24/11/2008,1.5393
17/11/2008,1.489
10/11/2008,1.4751
03/11/2008,1.5673
27/10/2008,1.6068
20/10/2008,1.5923
13/10/2008,1.7285
06/10/2008,1.7041
29/9/2008,1.7715
22/9/2008,1.8445
15/9/2008,1.8315
08/9/2008,1.7945
01/9/2008,1.7657
25/8/2008,1.8211
18/8/2008,1.8521
11/8/2008,1.8665
04/8/2008,1.9201
28/7/2008,1.9752
21/7/2008,1.9905
14/7/2008,1.9981
07/7/2008,1.9901
30/6/2008,1.9827
23/6/2008,1.9945
16/6/2008,1.9758
09/6/2008,1.9465
02/6/2008,1.9698
26/5/2008,1.9821
19/5/2008,1.9795
12/5/2008,1.9563
05/5/2008,1.9532
28/4/2008,1.971
21/4/2008,1.9851
14/4/2008,1.9973
07/4/2008,1.9704
31/3/2008,1.9928
24/3/2008,1.9945
17/3/2008,1.9823
10/3/2008,2.0185
03/3/2008,2.0145
25/2/2008,1.9869
18/2/2008,1.9669
11/2/2008,1.9608
04/2/2008,1.9456
28/1/2008,1.9651
21/1/2008,1.982
14/1/2008,1.9539
07/1/2008,1.9566
31/12/2007,1.9712
24/12/2007,1.9929
17/12/2007,1.9835
10/12/2007,2.0154
03/12/2007,2.0314
26/11/2007,2.0571
19/11/2007,2.0602
12/11/2007,2.0528
05/11/2007,2.0902
29/10/2007,2.0898
22/10/2007,2.0528
15/10/2007,2.0521
08/10/2007,2.0371
01/10/2007,2.0424
24/9/2007,2.0469
17/9/2007,2.0195
10/9/2007,2.0086
03/9/2007,2.0297
27/8/2007,2.0164
20/8/2007,2.0146
13/8/2007,1.9803
06/8/2007,2.0236
30/7/2007,2.0394
23/7/2007,2.0242
16/7/2007,2.0558
09/7/2007,2.0342
02/7/2007,2.0103
25/6/2007,2.0092
18/6/2007,1.9991
11/6/2007,1.9757
04/6/2007,1.9698
28/5/2007,1.9819
21/5/2007,1.9834
14/5/2007,1.9743
07/5/2007,1.9806
30/4/2007,1.9917
23/4/2007,1.9978
16/4/2007,2.0023
09/4/2007,1.9866
02/4/2007,1.9651
26/3/2007,1.9679
19/3/2007,1.9619
12/3/2007,1.9411
05/3/2007,1.9314
26/2/2007,1.9431
19/2/2007,1.9632
12/2/2007,1.9503
05/2/2007,1.9501
29/1/2007,1.9667
22/1/2007,1.9598
15/1/2007,1.9737
08/1/2007,1.9586
01/1/2007,1.9299
25/12/2006,1.9588
18/12/2006,1.9595
11/12/2006,1.9519
04/12/2006,1.9535
27/11/2006,1.9793
20/11/2006,1.9316
13/11/2006,1.8955
06/11/2006,1.9112
30/10/2006,1.9009
23/10/2006,1.8988
16/10/2006,1.8838
09/10/2006,1.8558
02/10/2006,1.8699
25/9/2006,1.8721
18/9/2006,1.8995
11/9/2006,1.8798
04/9/2006,1.8656
28/8/2006,1.9069
21/8/2006,1.8865
14/8/2006,1.8827
07/8/2006,1.89
31/7/2006,1.9075
24/7/2006,1.8642
17/7/2006,1.8591
10/7/2006,1.8386
03/7/2006,1.8502
26/6/2006,1.8475
19/6/2006,1.8181
12/6/2006,1.8503
05/6/2006,1.8411
29/5/2006,1.8818
22/5/2006,1.8592
15/5/2006,1.8777
08/5/2006,1.8933
01/5/2006,1.8591
24/4/2006,1.8253
17/4/2006,1.7815
10/4/2006,1.751
03/4/2006,1.7433
27/3/2006,1.738
20/3/2006,1.7424
13/3/2006,1.7565
06/3/2006,1.7265
